year,month,현재수요(MW)
2012,6,55649.90712
2012,7,58375.80796
2012,8,59491.12602
2012,9,54226.44174
2012,10,53218.53066
2012,11,58920.92127
2012,12,64414.21867
2013,1,65219.08478
2013,2,61594.57048
2013,3,58323.12804
2013,4,56573.89077
2013,5,54038.7724
2013,6,56461.85881
2013,7,59847.33938
2013,8,60925.75432
2013,9,54022.19496
2013,10,55609.37988
2013,11,59791.67171
2013,12,63732.55717
2014,1,63608.657
2014,2,62865.91803
2014,3,60214.23048
2014,4,56723.29487
2014,5,55182.6984
2014,6,57058.92396
2014,7,61391.03392
2014,8,58279.05317
2014,9,55895.82747
2014,10,56447.78664
2014,11,59304.12598
2014,12,67073.82547
2015,1,65907.60643
2015,2,62684.50914
2015,3,61536.001
2015,4,57745.78359
2015,5,54746.40886
2015,6,57793.59454
2015,7,60915.46242
2015,8,61489.80808
2015,9,56931.0151
2015,10,56379.36532
2015,11,59327.7956
2015,12,64343.25119
2016,1,67287.22305
2016,2,63823.37477
2016,3,61492.55278
2016,4,57124.71377
2016,5,56438.37368
2016,6,59225.44135
2016,7,63454.14547
2016,8,66201.5658
2016,9,58310.80046
2016,10,57416.66396
2016,11,61899.12399
2016,12,66320.46493
2017,1,66672.35091
2017,2,67718.55097
2017,3,63141.22298
2017,4,58219.71926
2017,5,57389.15872
2017,6,60204.25825
2017,7,66861.0539
2017,8,65819.00032
2017,9,61327.56939
2017,10,56909.37279
2017,11,63943.8742
2017,12,69766.43318
2018,1,71972.58106
2018,2,69150.26604
2018,3,63504.21248
2018,4,59773.70569
2018,5,59440.72154
2018,6,61607.32582
2018,7,69750.59414
2018,8,71474.54469
2018,9,60363.10082
2018,10,60121.40281
2018,11,63662.30155
2018,12,69483.51393
2019,1,71010.34581
2019,2,66033.29681
2019,3,63049.15901
2019,4,60616.66979
2019,5,58630.2079
2019,6,60125.35113
2019,7,66459.47162
2019,8,68792.23976
2019,9,61176.53832
2019,10,58965.62819
2019,11,62061.14507
2019,12,67266.07785
2020,1,66128.6608
2020,2,65773.90744
2020,3,60708.09063
2020,4,56861.16223
2020,5,54271.62158
2020,6,59128.70586
2020,7,61686.95022
2020,8,67522.65858
2020,9,60786.16124
2020,10,57087.50257
2020,11,61423.01537
2020,12,68476.34882
2021,1,70488.21492
2021,2,65447.88565
2021,3,61665.90096
2021,4,58620.15672
2021,5,57738.02553
2021,6,61820.80297
2021,7,71110.58966
2021,8,68195.83769
2021,9,61628.0806
2021,10,60305.9684
2021,11,63798.25459
2021,12,70616.98313
2022,1,72234.12827
2022,2,70367.03873
2022,3,65095.50478
2022,4,60545.2533
