,year,month,day,피해_가구수
0,2012,6,14,1785.3333333333333
1,2012,6,28,1250.0
2,2012,6,29,22.0
3,2012,6,30,103.33333333333333
4,2012,7,18,2277.090909090909
5,2012,7,19,1581.095238095238
6,2012,7,26,302.0
7,2012,8,13,2061.5
8,2012,8,27,2832.775
9,2012,8,28,2713.4884453781515
10,2012,8,29,930.6363636363636
11,2012,8,30,2852.325
12,2012,9,16,4308.666666666667
13,2012,9,17,2111.065573770492
14,2012,9,18,1297.6666666666667
15,2012,12,5,3000.0
16,2013,3,10,17.0
17,2013,6,26,4692.0
18,2013,7,13,101.0
19,2013,7,14,2304.5
20,2013,7,22,6.928571428571429
21,2013,7,26,5791.0
22,2013,8,2,15410.0
23,2013,8,5,125.0
24,2013,8,6,668.4615384615385
25,2013,10,8,2161.6428571428573
26,2014,2,7,5.0
27,2014,2,8,68.0
28,2014,2,10,1247.0
29,2014,2,12,2396.0
30,2014,7,9,3834.0
31,2014,7,26,1467.0
32,2014,7,31,2743.0
33,2014,8,2,743.0
34,2014,8,3,1423.5
35,2017,2,7,100.0
36,2017,2,10,345.0
37,2017,2,28,4135.0
38,2017,3,9,4754.0
39,2017,3,14,2085.0
40,2017,3,15,1759.0
41,2017,4,24,3453.0
42,2017,4,25,3677.0
43,2017,4,26,12349.5
44,2017,6,11,15884.833333333334
45,2017,7,23,40.0
46,2018,7,1,1.0
47,2018,7,2,249.0
48,2018,7,3,363.0
49,2018,8,22,1035.2592592592594
50,2018,8,23,612.695652173913
51,2018,8,24,400.85714285714283
52,2018,10,5,504.0
53,2018,10,6,789.8396226415094
54,2019,9,7,844.0
55,2019,10,7,403.0
56,2020,3,19,38.0
57,2020,4,6,83.0
58,2020,6,16,55.0
59,2020,6,26,1000.0
60,2020,6,29,600.0
61,2020,6,30,646.0
62,2020,7,1,1418.5714285714287
63,2020,7,2,1022.2272727272727
64,2020,7,3,1940.5555555555557
65,2020,7,7,752.5
66,2020,7,8,637.0
67,2020,7,9,840.0
68,2020,7,16,2321.5
69,2020,7,28,5571.5
70,2020,7,29,1406.6666666666667
71,2020,7,30,499.1363636363636
72,2020,8,1,349.6
73,2020,8,3,2272.5
74,2020,8,4,75.0
75,2020,8,6,78.0
76,2020,8,7,248.83333333333334
77,2020,8,8,3837.65625
78,2020,8,9,102.0
79,2020,8,10,3361.25
80,2020,8,22,20.0
81,2020,8,25,1000.0
82,2020,8,26,707.375
83,2020,8,27,651.0833333333334
84,2020,9,1,278.3333333333333
85,2020,9,2,627.0393700787401
86,2020,9,3,727.1881390593047
87,2020,9,6,142.33333333333334
88,2020,9,7,563.48322147651
89,2020,10,15,2.0
90,2020,12,3,20.0
91,2020,12,7,0.0
92,2021,1,5,120.0
93,2021,1,8,37939.0
94,2021,1,18,100.0
95,2021,3,1,886.5454545454545
96,2021,3,2,856.1111111111111
97,2021,3,3,1074.0
98,2021,3,10,2170.0
99,2021,5,10,362.0
100,2021,5,19,2100.0
101,2021,5,24,1220.0
102,2021,5,25,12300.0
103,2021,6,9,132.0
104,2021,6,10,550.0
105,2021,6,11,17700.0
106,2021,6,13,1000.0
107,2021,6,15,883.1428571428571
108,2021,6,16,1000.0
109,2021,6,18,1000.0
110,2021,6,21,1000.0
111,2021,6,22,300.0
112,2021,6,23,3834.3
113,2021,6,24,1230.0
114,2021,6,25,705.3846153846154
115,2021,6,28,3116.125
116,2021,6,29,1227.5098039215686
117,2021,6,30,1505.0
118,2021,7,1,1196.5
119,2021,7,2,1502.5
120,2021,7,3,2781.0
121,2021,7,6,141.66666666666666
122,2021,7,7,1041.3333333333333
123,2021,7,8,1620.75
124,2021,7,9,213.5
125,2021,7,10,7.0
126,2021,7,11,4237.0
127,2021,7,12,904.0
128,2021,7,13,500.0
129,2021,7,14,3653.7391304347825
130,2021,7,15,894.25
131,2021,7,16,1893.0
132,2021,7,19,967.4140625
133,2021,7,20,1142.7955801104972
134,2021,7,21,974.439393939394
135,2021,7,22,1783.6666666666667
136,2021,7,27,0.0
137,2021,7,28,20000.0
138,2021,8,4,2690.0
139,2021,8,5,1130.2
140,2021,8,9,2000.0
141,2021,8,23,883.5714285714286
142,2021,8,24,706.6
143,2021,12,25,736.8333333333334
144,2021,12,29,2000.0
145,2022,1,21,2000.0
146,2022,2,4,2000.0
147,2022,2,8,2000.0
148,2022,3,4,12.0
149,2022,3,5,1.0
